"id","ingredient"
66102450266,"4 eggs, beaten"
66102450266,"2 cups milk"
66102450266,"3/4 cup white sugar"
66102450266,"1 teaspoon ground cinnamon"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1/2 cup packed light brown sugar"
66102450266,"1 cup all-purpose flour"
66102450266,"1/4 teaspoon baking soda"
66102450266,"1/8 teaspoon salt"
66102450266,"1 cup rolled oats"
66102450266,"1/2 cup butter, softened"
66102450266,"3/4 cup seedless raspberry jam"
66102450266,"1 cup peanut butter"
66102450266,"1 cup white sugar"
66102450266,"1 egg"
66102450266,"1 3/4 cups all-purpose flour"
66102450266,"1/2 teaspoon salt"
66102450266,"1 teaspoon baking soda"
66102450266,"1/2 cup butter, softened"
66102450266,"1/2 cup white sugar"
66102450266,"1/2 cup peanut butter"
66102450266,"1/2 cup packed brown sugar"
66102450266,"1 egg, beaten"
66102450266,"1 teaspoon vanilla extract"
66102450266,"2 tablespoons milk"
66102450266,"40 miniature chocolate covered peanut butter cups, unwrapped"
66102450266,"2 cups all-purpose flour"
66102450266,"1/2 teaspoon baking soda"
66102450266,"1/2 teaspoon salt"
66102450266,"3/4 cup unsalted butter, melted"
66102450266,"1 cup packed brown sugar"
66102450266,"1/2 cup white sugar"
66102450266,"1 tablespoon vanilla extract"
66102450266,"1 egg"
66102450266,"1 egg yolk"
66102450266,"2 cups semisweet chocolate chips"
66102450266,"1 cup butter flavored shortening"
66102450266,"3/4 cup white sugar"
66102450266,"3/4 cup brown sugar"
66102450266,"2 eggs"
66102450266,"2 teaspoons Mexican vanilla extract"
66102450266,"2 1/4 cups all-purpose flour"
66102450266,"1 teaspoon baking soda"
66102450266,"1 teaspoon salt"
66102450266,"2 cups milk chocolate chips"
66102450266,"3 eggs, beaten"
66102450266,"1 cup white sugar"
66102450266,"2/3 cup pumpkin puree"
66102450266,"1 tablespoon lemon juice"
66102450266,"2/3 cup self-rising flour"
66102450266,"2 teaspoons ground cinnamon"
66102450266,"1 teaspoon ground nutmeg"
66102450266,"1 teaspoon ground ginger"
66102450266,"1 cup confectioners' sugar"
66102450266,"1/4 cup butter, softened"
66102450266,"1 (8 ounce) package cream cheese"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 1/4 cups white sugar"
66102450266,"1 cup butter"
66102450266,"3 egg yolks"
66102450266,"1 teaspoon vanilla extract"
66102450266,"2 1/2 cups all-purpose flour"
66102450266,"1 teaspoon baking soda"
66102450266,"1/2 teaspoon cream of tartar"
66102450266,"3 eggs"
66102450266,"3/4 cup buttermilk"
66102450266,"3/4 cup vegetable oil"
66102450266,"1 1/2 cups white sugar"
66102450266,"2 teaspoons vanilla extract"
66102450266,"2 teaspoons ground cinnamon"
66102450266,"1/4 teaspoon salt"
66102450266,"2 cups all-purpose flour"
66102450266,"2 teaspoons baking soda"
66102450266,"2 cups shredded carrots"
66102450266,"1 cup flaked coconut"
66102450266,"1 cup chopped walnuts"
66102450266,"1 (8 ounce) can crushed pineapple with juice"
66102450266,"1 cup raisins"
66102450266,"CAKE:"
66102450266,"1 (18.25 ounce) package moist white cake mix"
66102450266,"1 teaspoon instant coffee powder"
66102450266,"1/4 cup coffee"
66102450266,"1 tablespoon coffee flavored liqueur"
66102450266,"FILLING:"
66102450266,"1 (8 ounce) container mascarpone cheese"
66102450266,"1/2 cup confectioners' sugar"
66102450266,"2 tablespoons coffee flavored liqueur"
66102450266,"FROSTING:"
66102450266,"2 cups heavy cream"
66102450266,"1/4 cup confectioners' sugar"
66102450266,"2 tablespoons coffee flavored liqueur"
66102450266,"GARNISH:"
66102450266,"2 tablespoons unsweetened cocoa powder"
66102450266,"1 (1 ounce) square semisweet chocolate"
66102450266,"4 eggs"
66102450266,"1 1/4 cups vegetable oil"
66102450266,"2 cups white sugar"
66102450266,"2 teaspoons vanilla extract"
66102450266,"2 cups all-purpose flour"
66102450266,"2 teaspoons baking soda"
66102450266,"2 teaspoons baking powder"
66102450266,"1/2 teaspoon salt"
66102450266,"2 teaspoons ground cinnamon"
66102450266,"3 cups grated carrots"
66102450266,"1 cup chopped pecans"
66102450266,"1/2 cup butter, softened"
66102450266,"8 ounces cream cheese, softened"
66102450266,"4 cups confectioners' sugar"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 cup chopped pecans"
66102450266,"2 large Granny Smith apples, peeled and cored"
66102450266,"2 (10 ounce) cans refrigerated crescent roll dough"
66102450266,"1 cup butter"
66102450266,"1 1/2 cups white sugar"
66102450266,"1 teaspoon ground cinnamon"
